Feature,Importance
Stint,0.40911318428265675
RaceYear,0.17985917175871638
Position,0.15736840009680048
Track,0.12365061357963343
TyreLife,0.059098820668930296
Team,0.03167717209975926
Driver,0.022327473533392515
Compound,0.016905163980111052
