Year,Track,Driver,Team,GridPosition,FinishingPosition,Points,ClassifiedPosition
2022,Montreal,VER,Red Bull Racing,1,1,25,1
2022,Montreal,SAI,Ferrari,3,2,19,2
2022,Montreal,HAM,Mercedes,4,3,15,3
2022,Montreal,RUS,Mercedes,8,4,12,4
2022,Montreal,LEC,Ferrari,19,5,10,5
2022,Montreal,OCO,Alpine,7,6,8,6
2022,Montreal,BOT,Alfa Romeo,11,7,6,7
2022,Montreal,ZHO,Alfa Romeo,10,8,4,8
2022,Montreal,ALO,Alpine,2,9,2,9
2022,Montreal,STR,Aston Martin,17,10,1,10
2022,Montreal,RIC,McLaren,9,11,0,11
2022,Montreal,VET,Aston Martin,16,12,0,12
2022,Montreal,ALB,Williams,12,13,0,13
2022,Montreal,GAS,AlphaTauri,15,14,0,14
2022,Montreal,NOR,McLaren,14,15,0,15
2022,Montreal,LAT,Williams,18,16,0,16
2022,Montreal,MAG,Haas F1 Team,5,17,0,17
2022,Montreal,TSU,AlphaTauri,20,18,0,R
2022,Montreal,MSC,Haas F1 Team,6,19,0,R
2022,Montreal,PER,Red Bull Racing,13,20,0,R
2023,Montreal,VER,Red Bull Racing,1,1,25,1
2023,Montreal,ALO,Aston Martin,2,2,18,2
2023,Montreal,HAM,Mercedes,3,3,15,3
2023,Montreal,LEC,Ferrari,10,4,12,4
2023,Montreal,SAI,Ferrari,11,5,10,5
2023,Montreal,PER,Red Bull Racing,12,6,9,6
2023,Montreal,ALB,Williams,9,7,6,7
2023,Montreal,OCO,Alpine,6,8,4,8
2023,Montreal,STR,Aston Martin,16,9,2,9
2023,Montreal,BOT,Alfa Romeo,14,10,1,10
2023,Montreal,PIA,McLaren,8,11,0,11
2023,Montreal,GAS,Alpine,15,12,0,12
2023,Montreal,NOR,McLaren,7,13,0,13
2023,Montreal,TSU,AlphaTauri,19,14,0,14
2023,Montreal,HUL,Haas F1 Team,5,15,0,15
2023,Montreal,ZHO,Alfa Romeo,20,16,0,16
2023,Montreal,MAG,Haas F1 Team,13,17,0,17
2023,Montreal,DEV,AlphaTauri,17,18,0,18
2023,Montreal,RUS,Mercedes,4,19,0,R
2023,Montreal,SAR,Williams,18,20,0,R
2024,Montreal,VER,Red Bull Racing,2,1,25,1
2024,Montreal,NOR,McLaren,3,2,18,2
2024,Montreal,RUS,Mercedes,1,3,15,3
2024,Montreal,HAM,Mercedes,7,4,13,4
2024,Montreal,PIA,McLaren,4,5,10,5
2024,Montreal,ALO,Aston Martin,6,6,8,6
2024,Montreal,STR,Aston Martin,9,7,6,7
2024,Montreal,RIC,RB,5,8,4,8
2024,Montreal,GAS,Alpine,15,9,2,9
2024,Montreal,OCO,Alpine,18,10,1,10
2024,Montreal,HUL,Haas F1 Team,17,11,0,11
2024,Montreal,MAG,Haas F1 Team,14,12,0,12
2024,Montreal,BOT,Kick Sauber,19,13,0,13
2024,Montreal,TSU,RB,8,14,0,14
2024,Montreal,ZHO,Kick Sauber,20,15,0,15
2024,Montreal,SAI,Ferrari,12,16,0,R
2024,Montreal,ALB,Williams,10,17,0,R
2024,Montreal,PER,Red Bull Racing,16,18,0,R
2024,Montreal,LEC,Ferrari,11,19,0,R
2024,Montreal,SAR,Williams,13,20,0,R
2025,Montreal,RUS,Mercedes,1,1,25,1
2025,Montreal,VER,Red Bull Racing,2,2,18,2
2025,Montreal,ANT,Mercedes,4,3,15,3
2025,Montreal,PIA,McLaren,3,4,12,4
2025,Montreal,LEC,Ferrari,8,5,10,5
2025,Montreal,HAM,Ferrari,5,6,8,6
2025,Montreal,ALO,Aston Martin,6,7,6,7
2025,Montreal,HUL,Kick Sauber,11,8,4,8
2025,Montreal,OCO,Haas F1 Team,14,9,2,9
2025,Montreal,SAI,Williams,16,10,1,10
2025,Montreal,BEA,Haas F1 Team,13,11,0,11
2025,Montreal,TSU,Red Bull Racing,18,12,0,12
2025,Montreal,COL,Alpine,10,13,0,13
2025,Montreal,BOR,Kick Sauber,15,14,0,14
2025,Montreal,GAS,Alpine,20,15,0,15
2025,Montreal,HAD,Racing Bulls,12,16,0,16
2025,Montreal,STR,Aston Martin,17,17,0,17
2025,Montreal,NOR,McLaren,7,18,0,18
2025,Montreal,LAW,Racing Bulls,19,19,0,R
2025,Montreal,ALB,Williams,9,20,0,R
2022,Qatar,LEC,Ferrari,2,1,25,1
2022,Qatar,VER,Red Bull Racing,1,2,19,2
2022,Qatar,HAM,Mercedes,8,3,15,3
2022,Qatar,RUS,Mercedes,4,4,12,4
2022,Qatar,OCO,Alpine,6,5,10,5
2022,Qatar,MSC,Haas F1 Team,9,6,8,6
2022,Qatar,NOR,McLaren,10,7,6,7
2022,Qatar,MAG,Haas F1 Team,7,8,4,8
2022,Qatar,RIC,McLaren,11,9,2,9
2022,Qatar,ALO,Alpine,19,10,1,10
2022,Qatar,BOT,Alfa Romeo,0,11,0,11
2022,Qatar,ALB,Williams,15,12,0,12
2022,Qatar,STR,Aston Martin,12,13,0,13
2022,Qatar,ZHO,Alfa Romeo,13,14,0,14
2022,Qatar,GAS,AlphaTauri,14,15,0,15
2022,Qatar,TSU,AlphaTauri,16,16,0,16
2022,Qatar,VET,Aston Martin,18,17,0,17
2022,Qatar,SAI,Ferrari,3,18,0,R
2022,Qatar,LAT,Williams,17,19,0,R
2022,Qatar,PER,Red Bull Racing,5,20,0,R
2025,Qatar,VER,Red Bull Racing,3,1,25,1
2025,Qatar,PIA,McLaren,1,2,18,2
2025,Qatar,SAI,Williams,7,3,15,3
2025,Qatar,NOR,McLaren,2,4,12,4
2025,Qatar,ANT,Mercedes,5,5,10,5
2025,Qatar,RUS,Mercedes,4,6,8,6
2025,Qatar,ALO,Aston Martin,8,7,6,7
2025,Qatar,LEC,Ferrari,10,8,4,8
2025,Qatar,LAW,Racing Bulls,12,9,2,9
2025,Qatar,TSU,Red Bull Racing,15,10,1,10
2025,Qatar,ALB,Williams,14,11,0,11
2025,Qatar,HAM,Ferrari,17,12,0,12
2025,Qatar,BOR,Kick Sauber,19,13,0,13
2025,Qatar,COL,Alpine,20,14,0,14
2025,Qatar,OCO,Haas F1 Team,16,15,0,15
2025,Qatar,GAS,Alpine,9,16,0,16
2025,Qatar,STR,Aston Martin,18,17,0,17
2025,Qatar,HAD,Racing Bulls,6,18,0,18
2025,Qatar,BEA,Haas F1 Team,13,19,0,R
2025,Qatar,HUL,Kick Sauber,11,20,0,R
2025,Silverstone,NOR,McLaren,3,1,25,1
2025,Silverstone,PIA,McLaren,2,2,18,2
2025,Silverstone,HUL,Kick Sauber,19,3,15,3
2025,Silverstone,HAM,Ferrari,5,4,12,4
2025,Silverstone,VER,Red Bull Racing,1,5,10,5
2025,Silverstone,GAS,Alpine,8,6,8,6
2025,Silverstone,STR,Aston Martin,17,7,6,7
2025,Silverstone,ALB,Williams,13,8,4,8
2025,Silverstone,ALO,Aston Martin,7,9,2,9
2025,Silverstone,RUS,Mercedes,4,10,1,10
2025,Silverstone,BEA,Haas F1 Team,18,11,0,11
2025,Silverstone,SAI,Williams,9,12,0,12
2025,Silverstone,OCO,Haas F1 Team,14,13,0,13
2025,Silverstone,LEC,Ferrari,6,14,0,14
2025,Silverstone,TSU,Red Bull Racing,11,15,0,15
2025,Silverstone,ANT,Mercedes,10,16,0,R
2025,Silverstone,HAD,Racing Bulls,12,17,0,R
2025,Silverstone,BOR,Kick Sauber,16,18,0,R
2025,Silverstone,LAW,Racing Bulls,15,19,0,R
2025,Silverstone,COL,Alpine,20,20,0,W
2025,Singapore,RUS,Mercedes,1,1,25,1
2025,Singapore,VER,Red Bull Racing,2,2,18,2
2025,Singapore,NOR,McLaren,5,3,15,3
2025,Singapore,PIA,McLaren,3,4,12,4
2025,Singapore,ANT,Mercedes,4,5,10,5
2025,Singapore,LEC,Ferrari,7,6,8,6
2025,Singapore,ALO,Aston Martin,10,7,6,7
2025,Singapore,HAM,Ferrari,6,8,4,8
2025,Singapore,BEA,Haas F1 Team,9,9,2,9
2025,Singapore,SAI,Williams,18,10,1,10
2025,Singapore,HAD,Racing Bulls,8,11,0,11
2025,Singapore,TSU,Red Bull Racing,13,12,0,12
2025,Singapore,STR,Aston Martin,15,13,0,13
2025,Singapore,ALB,Williams,20,14,0,14
2025,Singapore,LAW,Racing Bulls,12,15,0,15
2025,Singapore,COL,Alpine,16,16,0,16
2025,Singapore,BOR,Kick Sauber,14,17,0,17
2025,Singapore,OCO,Haas F1 Team,17,18,0,18
2025,Singapore,GAS,Alpine,19,19,0,19
2025,Singapore,HUL,Kick Sauber,11,20,0,20
2022,Spa,VER,Red Bull Racing,2,1,25,1
2022,Spa,PER,Red Bull Racing,5,2,19,2
2022,Spa,RUS,Mercedes,4,3,15,3
2022,Spa,SAI,Ferrari,3,4,12,4
2022,Spa,HAM,Mercedes,6,5,10,5
2022,Spa,BOT,Alfa Romeo,7,6,8,6
2022,Spa,OCO,Alpine,12,7,6,7
2022,Spa,NOR,McLaren,11,8,4,8
2022,Spa,ALO,Alpine,20,9,2,9
2022,Spa,TSU,AlphaTauri,13,10,1,10
2022,Spa,VET,Aston Martin,16,11,0,11
2022,Spa,RIC,McLaren,9,12,0,12
2022,Spa,GAS,AlphaTauri,14,13,0,13
2022,Spa,MSC,Haas F1 Team,10,14,0,14
2022,Spa,STR,Aston Martin,17,15,0,15
2022,Spa,LAT,Williams,19,16,0,16
2022,Spa,MAG,Haas F1 Team,8,17,0,17
2022,Spa,ALB,Williams,18,18,0,18
2022,Spa,ZHO,Alfa Romeo,15,19,0,R
2022,Spa,LEC,Ferrari,1,20,0,R
2023,Spa,VER,Red Bull Racing,1,1,26,1
2023,Spa,HAM,Mercedes,4,2,18,2
2023,Spa,RUS,Mercedes,12,3,15,3
2023,Spa,PER,Red Bull Racing,11,4,12,4
2023,Spa,SAI,Ferrari,2,5,10,5
2023,Spa,STR,Aston Martin,5,6,8,6
2023,Spa,ALO,Aston Martin,8,7,6,7
2023,Spa,OCO,Alpine,6,8,4,8
2023,Spa,ZHO,Alfa Romeo,13,9,2,9
2023,Spa,GAS,Alpine,10,10,1,10
2023,Spa,LEC,Ferrari,19,11,0,11
2023,Spa,TSU,AlphaTauri,15,12,0,12
2023,Spa,PIA,McLaren,9,13,0,13
2023,Spa,DEV,AlphaTauri,14,14,0,14
2023,Spa,HUL,Haas F1 Team,7,15,0,15
2023,Spa,ALB,Williams,18,16,0,16
2023,Spa,NOR,McLaren,3,17,0,17
2023,Spa,MAG,Haas F1 Team,17,18,0,18
2023,Spa,BOT,Alfa Romeo,16,19,0,19
2023,Spa,SAR,Williams,20,20,0,20
2024,Spa,VER,Red Bull Racing,2,1,25,1
2024,Spa,NOR,McLaren,1,2,19,2
2024,Spa,HAM,Mercedes,3,3,15,3
2024,Spa,RUS,Mercedes,4,4,12,4
2024,Spa,LEC,Ferrari,5,5,10,5
2024,Spa,SAI,Ferrari,6,6,8,6
2024,Spa,PIA,McLaren,9,7,6,7
2024,Spa,PER,Red Bull Racing,11,8,4,8
2024,Spa,GAS,Alpine,7,9,2,9
2024,Spa,OCO,Alpine,8,10,1,10
2024,Spa,HUL,Haas F1 Team,13,11,0,11
2024,Spa,ALO,Aston Martin,10,12,0,12
2024,Spa,ZHO,Kick Sauber,15,13,0,13
2024,Spa,STR,Aston Martin,14,14,0,14
2024,Spa,RIC,RB,18,15,0,15
2024,Spa,BOT,Kick Sauber,12,16,0,16
2024,Spa,MAG,Haas F1 Team,16,17,0,17
2024,Spa,ALB,Williams,20,18,0,18
2024,Spa,TSU,RB,17,19,0,19
2024,Spa,SAR,Williams,19,20,0,20
2025,Spa,PIA,McLaren,1,1,25,1
2025,Spa,NOR,McLaren,2,2,18,2
2025,Spa,LEC,Ferrari,7,3,15,3
2025,Spa,RUS,Mercedes,4,4,12,4
2025,Spa,HUL,Kick Sauber,15,5,10,5
2025,Spa,HAM,Ferrari,5,6,8,6
2025,Spa,HAD,Racing Bulls,9,7,6,7
2025,Spa,GAS,Alpine,8,8,4,8
2025,Spa,ALO,Aston Martin,10,9,2,9
2025,Spa,VER,Red Bull Racing,3,10,1,10
2025,Spa,LAW,Racing Bulls,13,11,0,11
2025,Spa,BOR,Kick Sauber,12,12,0,12
2025,Spa,TSU,Red Bull Racing,19,13,0,13
2025,Spa,SAI,Williams,17,14,0,14
2025,Spa,COL,Alpine,18,15,0,15
2025,Spa,OCO,Haas F1 Team,16,16,0,16
2025,Spa,BEA,Haas F1 Team,14,17,0,17
2025,Spa,ANT,Mercedes,6,18,0,R
2025,Spa,ALB,Williams,11,19,0,R
2025,Suzuka,VER,Red Bull Racing,1,1,25,1
2025,Suzuka,NOR,McLaren,2,2,18,2
2025,Suzuka,PIA,McLaren,3,3,15,3
2025,Suzuka,LEC,Ferrari,4,4,12,4
2025,Suzuka,RUS,Mercedes,5,5,10,5
2025,Suzuka,ANT,Mercedes,6,6,8,6
2025,Suzuka,HAM,Ferrari,8,7,6,7
2025,Suzuka,HAD,Racing Bulls,7,8,4,8
2025,Suzuka,ALB,Williams,9,9,2,9
2025,Suzuka,BEA,Haas F1 Team,10,10,1,10
2025,Suzuka,ALO,Aston Martin,12,11,0,11
2025,Suzuka,TSU,Red Bull Racing,14,12,0,12
2025,Suzuka,GAS,Alpine,11,13,0,13
2025,Suzuka,SAI,Williams,15,14,0,14
2025,Suzuka,DOO,Alpine,19,15,0,15
2025,Suzuka,HUL,Kick Sauber,16,16,0,16
2025,Suzuka,LAW,Racing Bulls,13,17,0,17
2025,Suzuka,OCO,Haas F1 Team,18,18,0,18
2025,Suzuka,BOR,Kick Sauber,17,19,0,19
2025,Suzuka,STR,Aston Martin,20,20,0,20
